user_id,age,gender,current_role,years_of_experience,current_industry,previous_roles,key_skills,certifications,desired_role,preferred_industry,short_term_goal,long_term_goal,learning_style,time_available_per_week,motivation_level,recommended_skills
1,52,Female,Content Writer,13.4,Marketing,"Software Engineer, Content Writer, Marketing Specialist","Project Management, Data Analysis, SEO, Python",None,Data Scientist,Marketing,Upskilling,Expertise,Collaborative,10,6,Leadership
2,47,Female,Software Engineer,4.6,Healthcare,"Content Writer, HR Manager, Software Engineer","Leadership, Cloud Computing, Java, Data Analysis, SEO","AWS Certified, Scrum Master, Google Analytics",Team Lead,Marketing,Role Switch,Leadership,Collaborative,28,2,"Python, SEO"
3,49,Male,Entrepreneur,1.6,Marketing,HR Manager,"Leadership, Data Analysis, Cloud Computing, Project Management, Python","Scrum Master, Google Analytics, PMP",Business Consultant,Healthcare,Upskilling,Entrepreneurship,Collaborative,10,3,"Data Analysis, Leadership"
4,37,Female,Entrepreneur,15.1,Finance,HR Manager,"Cloud Computing, SEO",,Creative Director,Education,Role Switch,Leadership,Hands-on,11,9,"SEO, Data Analysis"
5,47,Female,Software Engineer,6.3,Finance,Entrepreneur,"Leadership, Project Management",None,Business Consultant,Healthcare,Role Switch,Expertise,Hands-on,29,5,"Python, Data Analysis"
6,44,Female,HR Manager,18.4,Education,"Data Analyst, Software Engineer, Content Writer","Project Management, SEO, Data Analysis",,Data Scientist,Marketing,Promotion,Entrepreneurship,Hands-on,19,1,"Cloud Computing, Project Management, Data Analysis"
7,50,Male,Software Engineer,7.7,IT,"Entrepreneur, Software Engineer","Python, Project Management, Data Analysis",Scrum Master,Team Lead,Healthcare,Role Switch,Expertise,Hands-on,15,7,SEO
8,30,Female,Entrepreneur,19.0,Marketing,"Entrepreneur, Data Analyst, Content Writer","Python, SEO, Data Analysis, Java, Project Management",None,Business Consultant,Healthcare,Promotion,Expertise,Reading,8,7,Data Analysis
9,50,Male,Marketing Specialist,15.0,IT,Entrepreneur,"SEO, Cloud Computing, Leadership","PMP, Scrum Master",Creative Director,IT,Role Switch,Leadership,Hands-on,20,1,"Data Analysis, Cloud Computing"
10,47,Female,Data Analyst,16.8,Finance,"Entrepreneur, Content Writer, Data Analyst","Java, Data Analysis, Cloud Computing, Leadership","AWS Certified, PMP",Creative Director,Marketing,Promotion,Expertise,Reading,9,7,"Java, Data Analysis"
11,50,Female,Data Analyst,5.5,IT,"Marketing Specialist, Data Analyst, Entrepreneur","Python, Leadership, Data Analysis, Java",,Business Consultant,Education,Role Switch,Leadership,Collaborative,24,6,"Cloud Computing, Python, Leadership"
12,44,Male,Software Engineer,6.7,Marketing,"Content Writer, Data Analyst, Software Engineer","Data Analysis, Project Management, Python, Leadership",,Creative Director,Marketing,Role Switch,Expertise,Collaborative,15,10,Python
13,46,Male,HR Manager,18.5,IT,Data Analyst,"Python, SEO",None,Data Scientist,Healthcare,Promotion,Leadership,Collaborative,10,1,"Cloud Computing, Java, Leadership"
14,35,Female,Software Engineer,11.8,IT,Marketing Specialist,"Data Analysis, Cloud Computing, Leadership, Java","AWS Certified, Scrum Master, PMP",Creative Director,Healthcare,Role Switch,Leadership,Reading,25,3,"Leadership, Data Analysis, SEO"
15,40,Female,Content Writer,5.7,Finance,"Content Writer, Entrepreneur","Leadership, Python, Project Management",PMP,Business Consultant,Healthcare,Role Switch,Expertise,Collaborative,12,5,"Project Management, Java"
16,38,Female,Marketing Specialist,8.1,Healthcare,"Content Writer, Marketing Specialist","Java, Project Management, Python",None,Data Scientist,Finance,Promotion,Entrepreneurship,Collaborative,10,10,"Python, Leadership, Project Management"
17,28,Male,Data Analyst,15.8,Education,Data Analyst,"Project Management, Data Analysis, SEO, Python","PMP, Google Analytics, AWS Certified",Business Consultant,IT,Promotion,Entrepreneurship,Reading,16,5,"Leadership, Data Analysis, Cloud Computing"
18,40,Female,Software Engineer,7.0,Marketing,"Data Analyst, HR Manager, Entrepreneur","Cloud Computing, Project Management, Java, Leadership, Data Analysis",Scrum Master,Team Lead,Education,Role Switch,Leadership,Hands-on,15,9,"Data Analysis, Cloud Computing, Java"
19,24,Male,Content Writer,2.1,Healthcare,Data Analyst,"Cloud Computing, Data Analysis, Python",None,Team Lead,Healthcare,Role Switch,Expertise,Hands-on,11,9,"Java, Project Management, Python"
20,42,Male,Content Writer,12.8,Marketing,"Data Analyst, Entrepreneur, Marketing Specialist","Leadership, Data Analysis, Java, SEO","AWS Certified, PMP",Business Consultant,Education,Role Switch,Entrepreneurship,Collaborative,24,1,"Cloud Computing, Java, SEO"
21,29,Male,HR Manager,13.7,Finance,Entrepreneur,"Cloud Computing, Data Analysis, Python, Project Management","Google Analytics, PMP",Creative Director,Education,Role Switch,Expertise,Reading,21,8,"Data Analysis, Java, Project Management"
22,45,Female,Content Writer,6.1,IT,"HR Manager, Data Analyst, Marketing Specialist","SEO, Cloud Computing",None,Creative Director,IT,Promotion,Entrepreneurship,Hands-on,20,2,SEO
23,35,Male,Marketing Specialist,7.7,Healthcare,"Data Analyst, Marketing Specialist, HR Manager","Cloud Computing, Data Analysis, Project Management",PMP,Business Consultant,IT,Role Switch,Entrepreneurship,Reading,18,7,Leadership
24,50,Male,HR Manager,13.6,Marketing,Content Writer,"Python, Cloud Computing, Project Management",,Creative Director,Finance,Promotion,Entrepreneurship,Hands-on,19,6,"Project Management, Leadership, Data Analysis"
25,42,Female,Entrepreneur,6.9,IT,"Software Engineer, HR Manager, Content Writer","Cloud Computing, Java",Scrum Master,Data Scientist,Marketing,Promotion,Entrepreneurship,Reading,19,7,Python
26,40,Male,Data Analyst,8.8,Healthcare,"HR Manager, Data Analyst, Entrepreneur","SEO, Cloud Computing, Project Management, Leadership, Java","AWS Certified, Google Analytics, PMP",Business Consultant,Education,Role Switch,Expertise,Collaborative,18,6,Java
